id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
292.0,2026-05-01,Dates_for_Filing,5th High Unemployment,China,CURRENT,1,0,2026-06-22 19:08:25
293.0,2026-05-01,Dates_for_Filing,5th High Unemployment,India,CURRENT,1,0,2026-06-22 19:08:25
294.0,2026-05-01,Dates_for_Filing,5th High Unemployment,Mexico,CURRENT,1,0,2026-06-22 19:08:25
295.0,2026-05-01,Dates_for_Filing,5th High Unemployment,Philippines,CURRENT,1,0,2026-06-22 19:08:25
296.0,2026-05-01,Dates_for_Filing,5th Infrastructure,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
297.0,2026-05-01,Dates_for_Filing,5th Infrastructure,China,CURRENT,1,0,2026-06-22 19:08:25
298.0,2026-05-01,Dates_for_Filing,5th Infrastructure,India,CURRENT,1,0,2026-06-22 19:08:25
299.0,2026-05-01,Dates_for_Filing,5th Infrastructure,Mexico,CURRENT,1,0,2026-06-22 19:08:25
300.0,2026-05-01,Dates_for_Filing,5th Infrastructure,Philippines,CURRENT,1,0,2026-06-22 19:08:25
286.0,2026-05-01,Dates_for_Filing,5th Rural,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
287.0,2026-05-01,Dates_for_Filing,5th Rural,China,CURRENT,1,0,2026-06-22 19:08:25
288.0,2026-05-01,Dates_for_Filing,5th Rural,India,CURRENT,1,0,2026-06-22 19:08:25
289.0,2026-05-01,Dates_for_Filing,5th Rural,Mexico,CURRENT,1,0,2026-06-22 19:08:25
290.0,2026-05-01,Dates_for_Filing,5th Rural,Philippines,CURRENT,1,0,2026-06-22 19:08:25
281.0,2026-05-01,Dates_for_Filing,5th Unreserved,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
282.0,2026-05-01,Dates_for_Filing,5th Unreserved,China,2017-03-01,0,0,2026-06-22 19:08:25
283.0,2026-05-01,Dates_for_Filing,5th Unreserved,India,2024-05-01,0,0,2026-06-22 19:08:25
284.0,2026-05-01,Dates_for_Filing,5th Unreserved,Mexico,CURRENT,1,0,2026-06-22 19:08:25
285.0,2026-05-01,Dates_for_Filing,5th Unreserved,Philippines,CURRENT,1,0,2026-06-22 19:08:25
276.0,2026-05-01,Dates_for_Filing,Certain Religious Workers,All_Chargeability_Areas,2023-01-01,0,0,2026-06-22 19:08:25
277.0,2026-05-01,Dates_for_Filing,Certain Religious Workers,China,2023-01-01,0,0,2026-06-22 19:08:25
278.0,2026-05-01,Dates_for_Filing,Certain Religious Workers,India,2023-01-01,0,0,2026-06-22 19:08:25
279.0,2026-05-01,Dates_for_Filing,Certain Religious Workers,Mexico,2023-01-01,0,0,2026-06-22 19:08:25
280.0,2026-05-01,Dates_for_Filing,Certain Religious Workers,Philippines,2023-01-01,0,0,2026-06-22 19:08:25
266.0,2026-05-01,Dates_for_Filing,Other Workers,All_Chargeability_Areas,2022-08-01,0,0,2026-06-22 19:08:25
267.0,2026-05-01,Dates_for_Filing,Other Workers,China,2019-10-01,0,0,2026-06-22 19:08:25
268.0,2026-05-01,Dates_for_Filing,Other Workers,India,2015-01-15,0,0,2026-06-22 19:08:25
269.0,2026-05-01,Dates_for_Filing,Other Workers,Mexico,2022-08-01,0,0,2026-06-22 19:08:25
270.0,2026-05-01,Dates_for_Filing,Other Workers,Philippines,2022-08-01,0,0,2026-06-22 19:08:25
201.0,2026-05-01,Final_Action,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:25
202.0,2026-05-01,Final_Action,1st,China,2023-04-01,0,0,2026-06-22 19:08:25
203.0,2026-05-01,Final_Action,1st,India,2023-04-01,0,0,2026-06-22 19:08:25
